Comment,ReplyCount,LikeCount,PublishedAt
That's very beautiful and was very much helpful for me. Thank you so much. Gonna try this out now itself . Is there anything which I can use instead of masking fluid ??,2,0,01/12/2021
Do you always use hot pressed paper for ocean scenes?,0,0,01/12/2021
this is a very beautiful painting... i love it so much,2,1,10/29/2020
very good and nice painting,1,0,09/20/2020
Love from india madam,1,0,08/09/2020
"Gorgeous!  I love the techniques you use …. what a stunning out come, you are truly a gifted artist. Thank you for sharing your knowledge. : )",1,0,07/21/2020
"Started painting with my grandaughter when she was amazed at a scribble I did. Started with Frank Clark intro. That was a year ago and now found your demos. Brilliant, thanks a lot. Took me 75 years to find I can paint!",2,6,07/10/2020
What is the brand of this fan brush?,0,0,07/06/2020
"I'm in love with your waterscapes, I simply can't stop watching! It is your imagination or did you paint it from the photo?",1,0,06/20/2020
"Thank you soo much!
Beautiful job and really appreciate the color description",1,0,05/19/2020
Excellent work where do you get the bottle with that type of applicator?,1,0,04/29/2020
Wow...beautiful painting......,1,0,03/31/2020
That's some fantastic work with that fan brush. Mighty pretty.,1,0,03/27/2020
So nice,1,1,01/10/2020
Wow I just discovered your channel and it's now 3 am and I'm binge watching.  Beautiful!,1,0,01/06/2020
Stunning,1,0,12/30/2019
"Mam, can we paint it without having an artist mask fluid? Please reply..",1,0,12/27/2019
Plz reply must...  I will wait you....,0,0,12/23/2019
Hello Sir...  I don't know how to greet you.... Very beautiful and awesome....  Can you tell me which type of sheets you take for the paintings... Especially in water colour...,1,0,12/23/2019
"I love this, I probably will try it. Beautiful work!",1,0,10/17/2019
Magnífico trabajo. Greetings fronteras Santo Domingo,2,0,09/17/2019
Super,1,1,08/16/2019
Nice,1,0,06/22/2019
beautiful!,0,0,05/31/2019
amazing!,0,0,05/08/2019
"I was noticing that little instrument that you used to apply the  masking fluid, and was wondering where you may have obtained that. I can find nothing similar in the stores around my area.",3,0,04/05/2019
Stunning!,1,1,03/19/2019
You got a mason town what your art thank you for sharing that welcome painting of the beach great job,1,1,03/18/2019
Nice drawing,1,1,03/15/2019
Woow,0,0,03/14/2019
"Maria,
I commented last Sunday on one of your paintings and I want you to know that your art is so appreciated. You are, by far, my favorite!",1,4,02/25/2019
very very nice.,1,1,02/22/2019
Omg very very good painting,1,1,02/19/2019
Speechless!!,0,1,02/08/2019
this is incredible! i’ll definitely be applying what I learned in this video to my future paintings!,1,1,01/05/2019
Hola María que hermoso pinta lo hace ver fácil pero a mi nomas no me sale seguiré practicando...Saludos,1,0,11/08/2018
where did you get your masking fluid container?,1,0,11/05/2018
super,1,0,10/29/2018
draw cat,0,0,10/22/2018
"Wow, absolutely stunning, beautiful Ma’am.",1,1,09/20/2018
"Hey!
your paintings are amazing.",1,3,08/15/2018
Simply superb!!!!!,1,1,07/31/2018
can i use insead of art masking fluid also pva glue?,1,0,07/03/2018
Thanks you so much. Your paintings inspired me.,1,1,06/12/2018
Have been watching your painting tutorials for sometime. . You really are a fantastic artist Maria...,1,1,06/12/2018
Belíssima pintura!!,1,1,06/09/2018
nnnnnniiiicccceeee work,1,1,06/05/2018
Lovely painting Maria! How old are you?,1,1,06/05/2018
"Oh, Maria! You are such an encouragement! I'm just beginning my painting journey at age 67. Following you in the video, I painted this scene and was so happy with the result! Going to paint it again as there are some things I see that can be improved. I'm eager to continue and learn more. Thank you for your videos!",1,5,06/03/2018
Lovely but if we need to do it without the mask then how can we do?,2,1,05/28/2018
Beautiful like always,1,2,05/26/2018
It's amazing I love this paintig,1,1,05/24/2018
"Totally delightful, Maria! You do have such a talent. But it makes me want to keep on trying!",1,1,05/22/2018
Si gracias maria esta marina la pinte anoche.,1,1,04/30/2018
Ohhh gracias Maria lo mezclar así azul y rojo gracias,2,1,04/30/2018
Hola Maria quiromancia preguntarte algo como yo hago el color índigo ya que veo que utiliza mucho este color que colores mezclo para este color indigo,1,1,04/29/2018
So nice,1,1,04/28/2018
Great work,1,1,04/26/2018
it is so beautiful,1,1,04/22/2018
Thanks for the video..Loved it and  painted it..Turned out nice..I wish I could send you the picture of the painting I did ..,1,1,04/19/2018
"so beautiful!! I love watching it just come to life, right in front of the eyes",1,1,04/12/2018
what is art masking,1,0,03/25/2018
"Î like make this watercolor, Thank so much Maria.",1,1,03/19/2018
"I so enjoy your work and I will learn so much from being a patron. I can't wait to get started.What is the ""neutral tint you are using? I've not seen/heard of it. And what is the material the watercolor painting is on? It looks like a fuzzy fabric.",3,1,03/05/2018
Beautiful,1,1,03/03/2018
Beautiful painting......it looks soooo real...:-),1,1,03/02/2018
Love it !,1,1,02/19/2018
very  nice,1,1,02/13/2018
Ma'am I have done this on my canvas.thanks a lot.,1,1,02/05/2018
Speechless,1,1,02/04/2018
@maria this painting is awesome .......too good,1,1,01/31/2018
Wow this is a assom painting,1,2,01/23/2018
"Ogladalam jak zahipnotyzowana super przyjemnosc, technicznie filmik swietnie zrobiony swietnie przekazane informacj dla tego kto zaczyna sie uczyc malowania, szkoda tylko ze ja jestem bardziej nastawiona na acryl 
Dziekuje za filmik SUPER",1,1,01/20/2018
"bonsoir Maria, superbe belle plage!! avec son palmier , c est sublime!! oui je suis comme vous je n aime pas l aquarelle , quand sa fait délaver, vos peintures sont nettes, et vous avez le geste precis, , quelle poudre vous mettez, sur votre peinture? poudre magique???",1,2,01/09/2018
"Not sure if this has been asked yet, but I would like to know which masking fluid you are using, i would really like to buy it, thank you! and BEAUTIFUL Work!",3,1,01/09/2018
"This is just beautiful. I've just seen a picture in the paper with a scene nearly the  same but in reverse, advertising a holiday. I've saved it to try and paint it. After seeing your video I'm going to try, but I'm only just beginning so I have a lot of learning and practicing to do to get to your standard. Thank you for sharing your wonderful talent.",1,1,01/07/2018
AMAZING! Thank you so much for the tutorial Maria,1,1,01/01/2018
who unlike  this???,1,1,12/26/2017
i love your paintings maria.you really inspire me to paint again.thank you for posting these wonderful videos that help us learn.,1,1,12/23/2017
"Marysiu kochana, pieknie malujesz , inspirujesz , masz w sobie to cos co choc tak ulotne to pojawia sie w Twojej Sztuce.",3,1,12/14/2017
So amazing!!. I love it. Looks so real. l love the beach and blue skies,1,1,12/09/2017
Thank you so much for your videos ma’am! I was never much of a painter growing up and a few months I don’t know what inspired me to buy some supplies and just start blending colours on paper. Your videos have taught me so much and I recreated the Hawaiian night sky and the ship silhouette in the blue sky background and my friends and family couldn’t stop raving about it. Is there any way I could share those paintings with you? I’d love to show you how you’ve inspired an absolute non painter to give it a try and then fall in love with the art. Thank you!,1,1,11/26/2017
CAN U DO A HUMAN PAINTING PLEASE AND SOME TIPS ON IT??,1,1,11/23/2017
WOW is really small word to express my emotion towards the painting,1,1,11/17/2017
Grandiosa,1,1,11/07/2017
"Love this painting, and especially the palm trees. That’s something I’ve been working on.",1,1,11/02/2017
Thank you!.. going to Amazon right now to buy Art Masking Fluid for Watercolors!,1,1,10/31/2017
This music is so calming,1,1,10/28/2017
beautiful,1,1,10/28/2017
Awesome Painting Maria,2,1,10/26/2017
Yo! That is legit!that scenery is AMAZING !!!!!!,1,1,10/24/2017
Very excellent painting ! I think these are great effort to achieve this perfection !,1,6,10/15/2017
"Marie, your work is delightful to watch and so helpful.  I was very impressed with your technique on the palm tree. Thanks so much!",1,1,10/14/2017
"Hello Maria, well following along with this tutorial was a great success. How do I know ???? my husband asked if I could put it in a frame so he could put it on his desk at work.....lol.....Yippee what a lovely compliment to anyone starting out....thank you.",1,2,09/17/2017
Omg I don't usually pay much attention to speed paints as I only painted 2 things ever before but wow I came back to my room this was just starting and I was open mouth watching beautiful,1,1,09/02/2017
how much time do u take to make this one? :'D,3,0,08/18/2017
Love this tutorial!   Palm trees & Caribbean houses are what I love to paint.   I can learn so much from you.   So glad I finally found your demonstrations!!,1,1,08/16/2017
Wonderful painting..,2,1,08/15/2017
Maria Its me Riane i am just using my mom's account you know i have many watercolor paintings already. Do you sell yours?,1,0,08/12/2017
"Beautiful painting,great use of the fan brush",1,1,08/07/2017
"Omgosh Maria, that is lovely! Thanks for sharing.  I am going to follow along to see if I can do this.",1,1,08/04/2017
Amazed,1,1,08/04/2017
What's the purpose of art masking fluid please? Beautiful painting.  I wonder if you could do the instruction in black so I can see it better...it is too light for my eyes...thank you,1,0,08/04/2017
Your videos are always  a great happiness for me. I love to watch them. Many thanks to share your talent !,1,1,08/04/2017
beautyful,1,1,08/03/2017
beautiful painting! i was wondering if you'd ever do/have done a snow scene?,1,1,08/03/2017
Awesome!,1,1,08/03/2017
Beautiful Maria !!,1,1,08/02/2017
No i have not -- is that something online to order from?,1,0,08/02/2017
Absolutely beautiful.,1,1,08/02/2017
"Beautiful painting, Maria! Also, love the way you put up the colors and brush that you are using as the painting progresses. Two questions:  1. are you using a photo reference?  2. I used Winsor and Newton masking fluid and it gave the paper (Fabriano) a yellow cast when removed. Any suggestions as to why? Thanks!",2,1,08/02/2017
Can this resist be used with acrylics as well?,1,0,08/02/2017
Beautiful!,1,1,08/02/2017
